"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Smoke тест","Скриншот упавшего теста","При падении теста делается скриншот","0","0","0","3","0"
"Smoke тест","Загрузка страницы","Пункты меню отображаются и кликабельны при скроллинге","0","0","1","0","0"
"Smoke тест","Загрузка страницы","Страница загружается успешно, основные элементы отображаются корректно","0","0","1","0","0"
"Smoke тест","Загрузка элемента страницы","Элемент загружается успешно","0","0","3","0","0"
"Smoke тест","Авторизация","Авторизация с некорректными данными с проверкой ошибок","0","0","7","0","0"
"Smoke тест","Переход на страницу по ссылке","Переход по ссылке проходит успешно, основные элементы новой страницы отображаются корректно","0","0","2","0","0"
"Smoke тест","Авторизация","Успешная авторизация и сохранение cookies в файл","0","0","1","1","0"
"Smoke тест","Авторизация","Авторизация с некорректными данными не проходит","0","0","3","0","0"
"Smoke тест","Alert input","Нажать ""Input Alert"", ввести текст","0","0","1","0","0"
"Smoke тест","Авторизация","Отправка пустой формы невозможна","0","0","1","0","0"
"Smoke тест","Авторизация","Авторизация с корректными данными проходит успешно","0","0","2","0","0"
"Smoke тест","Авторизация","Успешная авторизация с загрузкой из файла cookies","0","0","0","2","0"
"Smoke тест","Tabs","Нажать на ссылку, перейти в новую вкладку","0","0","1","0","0"
"Smoke тест","JavaScriptExecutor","Проверка скролла на странице с помощью JavaScriptExecutor","0","0","1","0","0"
"Smoke тест","Basic Auth","Открыть страницу, пройти базовую авторизацию","0","0","1","0","0"
"Smoke тест","Авторизация","Авторизация с корректными данными и успешное разлогирование","0","0","1","0","0"
"Smoke тест","JavaScriptExecutor","Убрать фокус из поля ввода с помощью JavaScriptExecutor","0","0","1","0","0"
"Smoke тест","Авторизация","Страница загружается успешно, основные элементы отображаются корректно","0","0","1","0","0"
"Smoke тест","Drag and Drop","Перетащить элемент в принимающий","0","0","1","0","0"
